,id,is_closed,review_count,rating,Restaurant Category,Pickup Available,Delivery Available,Reservation Available,Price Level
387,ANh7XGDzZU1WnYPaNbe5UQ,0,198,3.0,tex-mex,1,1,0,Medium
388,5HabLL3znKQq1oGZ-4H8Nw,0,105,3.5,chicken_wings,0,1,0,Medium
389,cRBuTJRNeBks6DsHw9Y0HQ,0,24,2.5,icecream,1,1,0,Low
390,aXhYVRkgf_5H0-cEFcYXpA,0,78,2.5,coffee,0,1,0,Low
391,AWzZpYrIlJc62sE-UfWJAA,0,73,2.5,breakfast_brunch,0,1,0,Low
392,ZrgOQ_cxAgigoBMJjmjwvA,0,6,3.0,sandwiches,1,1,0,Low
394,skOdw3314w8zgKiHQoLDYg,0,67,4.5,vegan,1,1,0,Low
395,GjR509PwiyddlhhFYqfz7A,0,384,4.0,pizza,0,1,0,Low
396,5ARD6r8F8ElBUFQYLYd5TA,0,307,3.5,dinnertheater,0,1,0,Medium
397,Z6hCGj9443bzA6FWGueQ5w,0,15,4.0,hotdogs,0,0,0,Low
398,vwlHCU1nZ36o7DRJiV-aLQ,0,85,3.0,hotdogs,0,1,0,Low
399,yTLCJduGNoCQthPTEF7S-A,0,58,2.5,chicken_wings,1,1,0,Medium
400,7JDoHq4CVcyX6rUG8umgqA,0,58,1.5,mexican,0,1,0,Low
401,1M6R5YO87u7qdZLBC7pzTQ,0,91,3.5,salad,0,1,0,Low
402,i0OoO-IfchgdM46gH8poJA,0,186,4.5,catering,1,1,0,Low
403,3m1fFOsPlS2cpq1hBCPShA,0,872,4.5,burgers,0,1,0,Medium
404,eVv3L2EFs1BiC85xb9fjKQ,0,90,3.5,tradamerican,1,1,0,Medium
405,Q3-03ugxTJQdb1uiiu8OOg,0,226,4.0,asianfusion,0,1,0,Medium
406,Oc21t1r_VYI8ua_4vl4yBA,0,56,1.5,coffee,0,1,0,Low
408,OZt4IgydXAJY-mxkdvOchA,0,24,1.5,burgers,0,1,0,Low
409,pk-llAKgf8b1a9HY1UHszw,0,18,2.0,sandwiches,1,1,0,Low
410,rI9NXTUM5cUB6xwMWsqWxQ,0,690,4.0,wine_bars,1,0,0,Medium
411,gYvN7itwBu9c1t9dlQVs2Q,0,177,4.0,breakfast_brunch,1,1,0,Medium
412,BbYl_rVZDFPQyT6tuNQDBw,0,396,4.5,tradamerican,1,1,0,Medium
413,1fo-TvPTzcFeWLGXB3fzTQ,0,378,4.0,wine_bars,0,1,0,Medium
414,1sG3OSwCjK-vT_CuLY4wEg,0,297,4.0,newamerican,0,1,0,Medium
415,UQ0ejf1a9Ob33UnBGHbdOA,0,63,4.5,japanese,0,1,0,High
