,id,is_closed,review_count,rating,Restaurant Category,Pickup Available,Delivery Available,Reservation Available,Price Level
417,Br61jGdeSyqGUJfaBIz7iw,0,240,3.5,tex-mex,0,1,0,Medium
418,IxyWVgibGUBLYGVkAzvaJA,0,61,3.5,chinese,1,1,0,Low
419,kXc01zB4yjLat1zl3mOeWA,0,18,3.0,buffets,1,1,0,Medium
420,Kt3mqOpwOMK3NiNtOPWXqQ,0,28,4.5,vegan,1,1,0,Low
421,SlVl1e_KWW4OGeKHBWJLIQ,0,347,4.0,japanese,0,1,0,Medium
422,Q6Ubri6ALZiKajqKv8qKUA,0,12,4.0,wraps,1,1,0,Medium
426,BkOI4SjFFlNHEowjVH-yzg,0,339,4.0,tradamerican,0,0,0,Medium
427,RW7IL5kqWQ8USZq9Z1_FKg,0,122,2.5,burgers,0,1,0,Low
428,fpI7mnWKWi5ImtBf1gd-zg,0,140,2.0,breakfast_brunch,0,1,0,Low
429,qBSTj8-J-bvUpdzdwtK_Eg,0,81,2.0,sandwiches,1,1,0,Low
433,IJ_6VoseADX4YE9UHJoxIw,0,176,4.0,juicebars,1,1,0,Low
434,X3Ph3dagbWXIOBvtREBIuA,0,36,3.5,cafes,0,1,0,Medium
435,QDQwPO2PnhEPW950ezBsrg,0,83,4.0,diners,0,1,0,Medium
436,BWdGYxgglIbmWt08eHrT5A,0,193,4.5,sushi,0,1,0,High
438,Fmjo9qVYNvkoOtC1Y5q0Gw,0,53,3.0,sandwiches,1,1,0,Low
439,8L8nfzPjUqFlAZHY7vLdkQ,0,144,3.5,vegetarian,1,1,0,Medium
440,ilbpPtszw7TdBuObPCoMhg,0,46,2.0,burgers,0,1,0,Low
442,sq2pdhpFaT_7jQQXbYW0Qg,0,215,4.5,wine_bars,1,1,0,Medium
443,NUKEqZp54WUS7-Qc3JnLyw,0,299,4.0,cafes,1,1,0,Medium
445,jXBN7J5n1e9OKVx6ss2oJA,0,38,2.5,icecream,1,1,0,Low
448,epWYCIJvJba2YTCpHtxpjA,0,105,4.0,thai,0,1,0,Medium
449,5tr1jqMorEOp_lUPbaQVCw,0,30,2.5,hotdogs,0,1,0,Low
450,T-jS9VDynLl3gCPipDnhtA,0,49,3.0,coffee,0,1,0,Low
451,TqkMtNRbg6fzRwQXD7sk3w,0,6,1.5,sandwiches,1,1,0,Low
453,mGdzFQD2qM_GiwQNoNTJaQ,0,210,4.5,japanese,0,1,0,Medium
454,mW5AQncfKFZDmgjOOVuzbg,0,248,4.0,breakfast_brunch,0,1,0,Medium
455,vm12ElhcqU9SdSsQXktOTw,0,252,4.0,seafood,1,1,0,Medium
456,o1VhGBJ5fJf4x3T8CMCo9g,0,636,4.0,steak,1,1,0,Medium
457,2KTXmV6c9LnE7yiHn6_mPw,0,107,4.0,diners,1,1,0,Medium
458,5yWNsAA5mCb7dHufkb7Ykg,0,230,3.0,seafood,1,1,0,Medium
459,c5r2_s_4-U5O4NHGKTOKNg,0,198,2.5,chicken_wings,1,1,0,Medium
460,VQcv58vja_I81PxIGsc3TA,0,19,4.5,delis,0,1,0,High
461,sZ6OGgdDvbJu8DmE2NIrGg,0,35,2.0,tacos,0,1,0,Low
462,Fl_zLFA-Q0t-bqxBcBQuZA,0,15,2.0,sandwiches,1,1,0,Low
463,fsArw_200gqcuyvOtWL98w,0,353,4.5,breakfast_brunch,0,1,0,Medium
464,qUvn-ilnP2I7lJ0j5ypiEw,0,377,4.0,italian,1,1,0,Medium
466,2hEoWOcti8BmA4GpAuBBzg,0,43,3.5,markets,1,1,0,Low
468,x7VrnL4qS2ZN0eTA_YiCVw,0,382,3.5,cafes,0,1,0,Medium
469,Yfd_q1H6EHs8Jcus0YzEWw,0,258,4.0,latin,0,1,0,Medium
471,jG1dCsa_x0jufF3xmKA4JA,0,150,3.5,italian,1,1,0,Medium
473,VBJAHggfAaYeLGpgh-VDLg,0,1126,4.0,breakfast_brunch,1,1,0,Medium
475,j2U3fC92-k-0EFdYFo8iow,0,588,3.5,newamerican,1,1,0,Medium
478,LrL_bLXNenIjN91wxrXbfA,0,435,3.5,tradamerican,1,1,0,Medium
479,VvWbcB590fuy-RjnWx0JWw,0,166,3.0,bars,0,1,0,Medium
480,TyziXxg_YojlwW5Jyn9pdQ,0,244,4.0,sushi,0,1,0,Very High
481,AdVSU_Hngnrs3YubGKvylA,0,297,2.5,cocktailbars,0,1,0,Medium
482,8pCRLVHCo7LeW9vY7czB6Q,0,359,3.5,japanese,1,1,0,Medium
483,_cj2qAP9AqSeWRzgm1T_vw,0,287,3.5,italian,0,1,0,Medium
484,zSznTEwh__5CPSodIkdU0w,0,285,4.0,tradamerican,1,1,0,Medium
485,UJyaOs7eq_oB1aI1ZSAh0w,0,424,4.5,creperies,0,1,0,Medium
486,n128YZqWp68zmv3_NIOdgA,0,198,4.0,soup,1,1,0,Medium
487,fDMEF_1tL48Qg-77jhzVhw,0,101,3.5,sandwiches,0,1,0,Medium
488,WF_fQLXy4nvgeahmCNAlfg,0,337,4.0,catering,0,1,0,Medium
489,soD-cFZRyDV8vfOqjGZN6g,0,164,3.5,breakfast_brunch,1,1,0,Medium
491,omjn6i_DGuwQeY53aQYmdA,0,90,1.5,hotdogs,1,1,0,Low
492,RAlFwSYpj88t7byrfh_4_Q,0,7,2.0,sandwiches,1,1,0,Low
493,eLLlvggmbTMdK-tvubXmCA,0,722,4.5,cafes,0,1,0,Medium
496,dcAnsCtmIPjVgIBBGyxAnA,0,160,3.5,chicken_wings,1,1,0,Medium
498,8FJUasAEr9GbM6bt9z4o3w,0,43,4.5,cocktailbars,0,0,0,Medium
499,ZmrPkPlb6gRylpyZU4EydQ,0,1831,4.0,cocktailbars,1,1,0,Medium
500,xVz0QrAeFT7wrkmwyPdSyQ,0,837,4.5,breakfast_brunch,1,1,0,Medium
501,NyUjZnRq5siS_gYOSD5nNQ,0,192,4.0,beerbar,1,1,0,Medium
502,3k8hkpMUE7LNEnJtK8MQmQ,0,138,3.5,soup,1,1,0,Medium
503,SZ-iltOHzVPXO32xCaHyyA,0,370,4.0,bbq,1,1,0,Medium
504,DrNk945Nty193ET3PajIEA,0,512,4.0,wraps,0,1,0,Low
505,ux7_my9gBCAY9Fae0-bc4w,0,288,4.0,tradamerican,1,1,0,Medium
506,YmrfIxrEkkPpjvJ1k3kdCA,0,13,4.5,coffee,1,1,0,Low
508,Xf-b9HcYzij1L9rITbVLlA,0,124,3.0,mexican,0,0,0,Medium
509,FK75rail3NA7C7i3Tf65dA,0,666,4.0,hotdogs,1,1,0,Medium
510,xv81wCCTDRFQJDFfQNcE7A,0,224,4.0,bakeries,1,1,0,Medium
511,YAcRarYclSMDvZFMhpHJ3A,0,295,4.5,poke,1,1,0,Medium
512,dStZ6VQPoBI9203LqlMg4A,0,374,4.0,sushi,1,1,0,Medium
513,RHIWPkZB7jrm8qiIKAk0UQ,0,198,3.0,tradamerican,1,1,0,Medium
514,sWEd99NMp4i9v1c2FjUZ6g,0,330,4.0,tradamerican,1,1,0,Medium
515,st0XfS5D4Ur-xkudOnm-2w,0,232,4.0,vegan,0,1,0,Medium
516,uLUg8RY3sg6jGWaTWvSABw,0,221,4.0,tradamerican,1,1,0,Low
518,8NUuMj8vQNqEmlxuLfLJQg,0,313,2.0,sportsbars,1,1,0,Medium
519,BTNKR9mcXBL07Ilty0HtXQ,0,230,3.5,chinese,1,1,0,Low
520,bFaNKayINuCo6V71Vox5mg,0,145,2.0,hotdogs,1,1,0,Low
521,uZKsrUwhKqP5U4SjVsHxRw,0,136,4.0,taiwanese,0,0,0,Low
522,pV6OmIL4rVprs9J4I15zsA,0,186,2.5,asianfusion,1,1,0,Medium
523,eL0fRp3FvuPsSkB7iAWnwA,0,86,4.0,asianfusion,1,1,1,Medium
524,7ZPkCIH9HsUQXmVl3ZOuQQ,0,81,4.0,asianfusion,1,1,0,Medium
525,5zrELQaB9973nlot4_QbFg,0,99,4.0,chinese,0,1,0,Medium
527,Q7DVhWpvQ0-8oefFfx2I5w,0,87,4.0,sandwiches,1,1,0,Medium
528,y4WjFhNHRyS7T2Z0XtKg9Q,0,167,4.5,thai,1,1,0,Medium
531,Al0o9RvsT6NqsBb4OODExg,0,447,4.0,ramen,1,1,0,Medium
532,KL9l---bXP4uOxPeoPyz7w,0,192,4.5,cafes,1,1,0,Low
533,CMan4wBFgqD9Hq3mvVuCrA,0,92,3.0,delis,0,0,0,Medium
534,sPUbrRvGAPa4urHB0_6rmg,0,311,4.0,asianfusion,0,0,0,Medium
535,D1dLze9zWlAcVL4YtvIZMg,0,105,4.0,soup,1,1,0,Medium
536,EljhY-U94IgJ3785_smhcw,0,156,4.5,coffee,1,1,0,Low
539,VLh42MUV2YqMmJIDQDt3YQ,0,244,3.0,conveyorsushi,1,1,0,Medium
540,BRj76UFQ7QzTyaXckVOGbA,0,325,4.5,icecream,0,1,0,Low
541,1iO8M-Ht1qcIw6tikdOJqg,0,51,3.5,delis,1,1,0,Low
542,eoBID5gflQpb5P2APgq3Fg,0,167,4.5,cafes,0,1,0,Low
543,StxZMBAQIuVQ2Vr8YFk1gQ,0,129,4.0,coffee,1,1,0,Low
544,aeoqxRcfBMJpVzfp5BsR2g,0,79,3.5,waffles,0,1,0,Low
545,NdCB1MWnyBj62szCbM3fAg,0,20,4.0,hotdogs,0,0,0,Low
548,8v8xl7zv2_784ZpVjyExfg,0,120,3.5,pizza,1,1,0,Medium
550,7ISNR8GB199a2EfU3LfvQw,0,53,3.0,delis,0,0,0,Medium
551,oXcxeAshQbcKYdj1CLnLRA,0,13,2.5,sandwiches,1,1,0,Low
552,uH0cNrCQHQOOzY423GxHHQ,0,10,3.0,sandwiches,1,1,0,Low
553,kbnot1kG_1S41XSC72WtMg,0,161,4.0,newamerican,1,1,0,Medium
554,YeDaKmr_gPRnNM8c-j1PfQ,0,96,4.0,newamerican,1,1,0,Low
555,isjmPIkJIqYUxmtzNNoL2w,0,134,4.5,thai,1,1,0,Low
556,aXoV3PWOd5Y6uTYksUjHbQ,0,229,4.5,icecream,1,1,0,Medium
559,Bge0sonT778EZ2O28U_TZQ,0,6,2.5,breakfast_brunch,0,1,0,Medium
561,ZJflcNC3kCGSrlUtmuNWSg,0,729,4.0,newamerican,1,1,0,High
562,jvJH9kRzNCnKu_Oatg0nTw,0,245,3.0,sushi,0,1,0,Medium
564,CfDcp7LFygP-G4DM_RHHDQ,0,1168,4.5,desserts,0,1,0,Medium
565,3j5xiowOQaDDMF6Z34nGMw,0,50,4.0,hotdogs,1,1,0,Medium
566,RvKyDMJRW2Wkhaow2_bH8A,0,320,4.0,seafood,1,1,0,Medium
567,NHNooFGocSwzh5zpI61kXA,0,530,4.0,latin,0,0,0,Medium
568,kKu7nSF9fU8dLp9nZR9uVg,0,178,4.0,salad,1,1,0,Medium
569,TGZi6fhAw2CrqJhNFNHJBw,0,92,3.5,vegetarian,0,0,0,Medium
570,yMxxZRtOcF1qvra5zAKESg,0,391,3.5,southern,1,1,0,Medium
571,hyUtqLeuOmGMKJqnvyWt8A,0,70,4.5,brasseries,0,1,0,Medium
572,-bU1PK5JPuBKaN94LbDbGQ,0,119,4.5,mexican,0,1,0,Low
573,1grej05ylLHHBGlDyGchaw,0,268,3.5,indpak,1,1,0,Medium
574,R6I8WufTczcbT7RCNHiQgw,0,501,4.0,mediterranean,1,1,0,Medium
577,vPm9rtJ8ls6jDxdNidSnlA,0,721,3.0,desserts,0,1,1,Medium
578,kfy9Z4oNUQecv7iMpYiTwQ,0,532,4.0,noodles,0,1,0,Medium
579,xTgSlxrW71cNV9FMVL-CKA,0,140,4.5,sandwiches,1,1,0,Low
580,PPKfdbAZLW3UbfbjrJtLlQ,0,407,3.0,indpak,1,1,0,Medium
581,TsAkeXoWijRbZlE6tebcIg,0,72,3.0,sandwiches,1,1,0,Medium
583,GV3PsW3rOrBRiIKZGBu97g,0,407,4.5,wine_bars,0,1,0,Medium
584,o-6bLgIV1iy_vEVjy-bZgw,0,76,3.0,pizza,1,1,0,Medium
585,kZ932TA8tWlt0H54nGR2zg,0,250,3.0,vegetarian,0,1,0,Medium
586,3VayAUKOZjafXyHoaXQ6fw,0,42,3.5,indpak,1,1,0,Medium
588,3_qHy2eIKfXlSuwRfuA8Hw,0,38,2.0,hotdogs,0,1,0,Low
590,h3bECdKPJFUySL8dNyj1nw,0,108,4.0,seafood,1,1,0,Medium
591,STpKf7W9XcAYfKxm4ezIFQ,0,94,3.0,halal,1,1,0,Medium
592,TzpVCMjAuviinx8Zqn_wuQ,0,13,2.0,chinese,0,0,0,Low
593,eZMjL0KdCbgHWyoVp536KA,0,35,2.5,indpak,0,0,0,Medium
594,wc3umQSpEccd8CFJM3OOaQ,0,107,4.5,mexican,1,1,0,Low
595,X430LURLrWV9biYin0Jgeg,0,86,4.5,asianfusion,1,1,0,Medium
596,67xj6pgP_qE3tqBWrRHimg,0,62,2.5,chicken_wings,1,1,0,Low
597,RrQcMesIU_97od3SXnO4pg,0,39,2.5,coffee,0,1,0,Low
598,g5ruqXTckS7RVKeXC51xcg,0,25,2.5,hotdogs,0,1,0,Low
599,kVScf0mfeqxdQr2Rt7CqGA,0,39,2.5,hotdogs,1,1,0,Low
602,PWdsdUAcl5ub8DXUz7AUHQ,0,47,4.5,asianfusion,1,1,0,Low
603,H2H4tShOfQZ9AKsI8t1Rwg,0,14,2.0,hotdogs,0,1,0,Low
604,-9SaDG6Ndccgchsri7FJGw,0,9,2.5,sandwiches,1,1,0,Low
606,4bfYHBInIk6B60BJvY8WqQ,0,8,1.5,pizza,0,0,0,Low
607,1zOp-W9-HW5AGE6eg5eQ9w,0,138,4.0,sandwiches,1,1,0,Medium
608,GYmFR0Eckx9DKNZWHk6lFQ,0,63,2.5,chinese,1,1,0,Medium
612,Oc2oe5lU_j-Gp3rRKA5ZBA,0,13,3.5,breakfast_brunch,0,0,0,Medium
616,kkG9Ub4bqKMcOS8NjRG_2w,0,153,4.5,cocktailbars,1,1,0,Medium
617,ECJSJo48XjK9nz5xu1ut1Q,0,11,4.5,cocktailbars,0,0,0,Medium
618,Mz9JxtkFRffSEmO1bKEQbQ,0,788,4.5,brewpubs,0,1,0,Medium
619,cmi1LffsFyRyO7wJ2fesmg,0,1247,4.0,newamerican,1,1,0,Low
620,LOTjxKVKbfnSnfwfQ5jV0w,0,389,4.0,lounges,1,1,0,Medium
621,2a6RITg2Z4v3f9CFenNVIQ,0,195,3.5,tradamerican,0,1,0,Medium
622,gs24_Qf_1eN8aNvReqp7Vg,0,316,3.5,gastropubs,1,1,0,Medium
623,yFhHi-2NQL45W7dwu3zs8w,0,650,4.0,tradamerican,1,1,0,Medium
624,whEjz4CSMkfo-XRxy8vkbw,0,195,4.0,waffles,0,0,0,Medium
626,8Jb_skztzszhHiHBsYoF0g,0,514,3.5,pastashops,1,1,0,Medium
627,6O3DF4Zy9YlkQjCjSjplHg,0,313,4.0,japanese,0,1,0,Medium
628,t8Pb0_xMN5f_adUbitKE9Q,0,153,4.0,breakfast_brunch,0,1,0,Low
629,XkTG6ilGwHEmJ_fLI6KN1A,0,365,3.5,burgers,1,1,0,Medium
632,yXc7InaJ37Mh9c8QaRd8VQ,0,187,3.5,mediterranean,1,1,0,Medium
633,cDIUUkOB4JtV86PQRPpvsQ,0,117,2.5,tex-mex,1,1,0,Medium
634,Dv4WjkcFLJPbRdQlCQrprg,0,231,2.5,cafes,1,1,0,Medium
635,9fn4XXC760FstUGGyOkjHg,0,60,3.5,breakfast_brunch,0,0,0,Low
636,y9O3ZBcWQ0WQCoD4psD4ig,0,131,3.0,desserts,0,1,0,Medium
637,ivpG_AY-HdBh3VDrdz2aqQ,0,96,2.5,hotdogs,0,0,0,Low
638,61iY8WwaOPWo2i5ewXpXLg,0,1210,4.0,burgers,1,1,0,Medium
640,GUYRcfd-496Zxj7Vo3I6OQ,0,92,3.5,chicken_wings,1,1,0,Medium
641,lSsHJLOwlV28rLPmqni9Hw,0,124,4.0,halal,1,1,0,Medium
642,vZ7Ycb8r0Vr_joGuq86nFA,0,69,3.5,breakfast_brunch,1,1,0,Medium
643,LI4Pno4pCXwqXHHhZoIw2Q,0,451,4.0,cocktailbars,1,1,0,Medium
644,P-nmEhRKXLKnAaBOtx4ENA,0,546,4.5,steak,1,1,0,High
645,voD4poR-Wv1YqDZvjUSoEQ,0,31,4.5,chickenshop,1,1,0,Medium
646,O0d4wJG2HcD0q-DA2YqMZw,0,245,3.0,bars,1,1,0,Medium
647,02W08EcIRmmfk_BSmfMxSA,0,233,4.0,gluten_free,1,1,0,Low
649,IMRLaETu6zPA5_wN4bSWZw,0,127,4.0,chicken_wings,1,1,0,Medium
650,SiPbYLdiqoW9Xfcolj2t6A,0,308,4.5,hotpot,0,1,0,Medium
651,-zrSJe-66SLHvRxx21dW6w,0,472,4.0,bbq,1,1,0,Medium
652,Sep2VU-6pMn11oFz45a2rg,0,372,4.0,halal,1,1,0,Medium
654,es_tw1e8vz7vzhN9z6u1rQ,0,195,4.0,greek,1,1,0,Medium
655,Mk1u7X-QN6xMLdb69rX7uw,0,33,4.0,hotdog,0,0,0,Low
656,tpu4dmnf0n7AIrharg8Dmg,0,147,3.0,vegetarian,1,1,0,Medium
658,xGG3_va7-p2XDgSeg1g3fQ,0,20,4.0,juicebars,1,1,0,Medium
660,KtPGQcyg-y_WsNoW7ynlUQ,0,166,2.0,burgers,1,1,0,Low
661,BePzmytaaSUDQdFs8emMig,0,216,3.5,japanese,1,1,0,Medium
662,vBcQFP5cvt7eV95DdvKZ0g,0,98,4.5,waffles,1,1,0,Low
663,xnXELLGta6saAzh5XCylMw,0,330,2.5,buffets,1,1,0,Medium
666,CgWUvlyRs6EB_v48xCbhjw,0,240,3.5,steak,1,1,0,Medium
667,q9Kzn-jk4aoQ3OAm--rItA,0,194,3.5,buffets,1,1,0,Medium
669,uRWKgKt86pij6a4-HrdMAg,0,208,3.5,breakfast_brunch,1,1,0,Medium
670,1PrS8o8ROv0ssLUA7lHh6g,0,149,4.0,modern_european,0,1,0,Medium
671,ReNCXkmjTZ34mdT6Z5lkwg,0,288,3.5,salad,1,1,0,Low
672,byUtTxo_PfHSWpEV_zGTHA,0,47,2.0,mexican,0,1,0,Low
673,AW2IHTSRCu69cEI9klJIMg,0,52,2.5,hotdogs,1,1,0,Medium
674,5y8ImahTyoCMIxMRABr1ZA,0,431,4.0,hotdogs,0,0,0,Low
675,q_3jGUfM5Y9aqg5V2aDqxg,0,57,4.0,newamerican,1,1,0,Low
676,iWv2_dkxehghYqmkd2qY7Q,0,30,3.0,chickenshop,1,1,0,Low
677,CX6_fsVSufbkUY70mB86bQ,0,40,2.0,hotdogs,1,1,0,Low
680,RgHVlb9ef5oiy7wR38Okxg,0,35,2.5,sandwiches,0,0,0,Low
681,vScAfQ7DUYR72ULnsj86dA,0,1,2.0,food,0,0,0,Low
682,A6ATZ-qAPpK5ee0egKMAdQ,0,146,4.5,korean,1,1,0,Low
683,aqK1TjojzmS_GrTaA2oLkA,0,94,5.0,breakfast_brunch,0,1,0,Low
684,n97FN42b-OL2vaC5l7H6bA,0,44,2.5,newamerican,1,1,0,Low
686,AaJYEkGaXwCpGXOD_4_O5w,0,586,4.5,sushi,0,1,0,Medium
687,sDz-KIeqgHYITNl2GM7Z6A,0,1234,4.5,burgers,0,0,0,Medium
688,-fCEkt9eboVQrjuM2XbWww,0,817,4.0,seafood,1,1,0,High
689,jEApzbFwsHjqyIjrJFGYtQ,0,89,4.5,cocktailbars,1,1,0,Medium
691,7zZC-vj8LSkbBPT7fLP3cg,0,320,3.5,mexican,0,1,0,Medium
692,GdoOYUGHnfHZ-Fi9t8ftww,0,301,4.0,icecream,1,1,0,Low
693,5c1hPEl9jH5lK1VfLSeEfw,0,1699,4.0,tradamerican,0,1,0,Medium
694,-1ehfpe4BEGQSRwmOtytaA,0,50,4.0,tacos,0,0,0,Medium
696,rT1uBjftW4GAXJUS2GW3pA,0,1162,4.0,food_court,1,1,0,Medium
698,K30mk8uDW2EVAbqHeLxjUQ,0,113,4.0,burgers,0,0,0,Low
699,0lBMAhaYMjJn6hif_wHdAQ,0,467,4.0,steak,1,1,0,High
700,NnhmirXY45qcKOxLsMDY0g,0,233,4.0,sandwiches,1,1,0,Medium
701,arrOJBiqOsQ-zBx1tXntiw,0,208,4.5,desserts,0,0,0,Medium
705,B0I8ykB_GXHH7MmGY2JwSA,0,42,4.0,japanese,0,0,0,Medium
709,WCqWlOTMcbQTs45Uu7pT2Q,0,81,3.0,lebanese,0,0,0,Low
716,zBHAYgiHY7sHqWw5rrWzUg,0,451,3.0,buffets,1,1,0,Medium
717,uyOCI2LjY9es9MEZRrvO8A,0,16,4.0,pizza,0,1,0,Medium
718,hzdZUDhsqen-lzylMgAZlw,0,189,3.0,italian,0,1,0,Medium
720,LrkTN-oSrPf6dNivwaK_hw,0,6,4.0,breakfast_brunch,1,1,0,Medium
722,0ajlW74wmDzyGFwwqQ7w3g,0,53,4.0,delis,1,1,0,Low
723,nFZ5Nk6vMh1fvE6YqVexrg,0,650,4.0,tradamerican,1,1,0,Medium
724,VMCTIvRhtNUFZFiKTcnlMQ,0,379,4.0,kebab,1,1,0,Medium
725,ikFdQNBF2klt1qxZ7IS8Vw,0,189,4.0,soup,0,1,0,Medium
726,PP_Aqo-FuKPQcM1s6AelXw,0,181,4.0,wine_bars,0,0,0,Medium
727,H9FhKrox5np9_2n0OfZgyA,0,155,4.0,asianfusion,0,1,0,High
728,HwX6g_kmpJTSKD71M-Y3oQ,0,299,4.0,soup,1,1,0,Medium
730,U0bNPDmJuKnc9I5KR3nrZQ,0,18,3.0,newamerican,0,1,0,Medium
731,1KLl03kQJT8otvpUdRLwVA,0,532,2.5,halal,1,1,0,Medium
732,wj9wzw4hHv5X3h_Y1Y43MQ,0,84,3.5,sandwiches,1,1,0,Low
733,JoiJT-ig0ikZuT4zDIzJMw,0,227,3.0,indpak,1,0,0,Medium
735,VRtEgQCGFGKWO0B_bmiDQw,0,170,2.5,gluten_free,1,1,0,Medium
736,N8uql1IhGeD0Fwe-uRU53g,0,125,3.5,mexican,1,1,0,Low
737,7xS1tAErcqFwwrT_FYiSjg,0,165,3.5,thai,1,1,0,Medium
738,BAbR7fkjpMn7VuqCkX7Psg,0,233,2.5,chinese,1,1,0,Medium
740,yqLWNq0OKoSYrmqYu51-sQ,0,384,2.5,indpak,0,1,0,Medium
741,sy114dVm4JV1uWOciIF-KA,0,136,2.5,indpak,1,1,0,Medium
742,Gs5itwDizu1DoPaYNFcxYw,0,249,3.5,vietnamese,1,1,0,Low
743,HeqS3ubwRtxOk0DEBrWqVg,0,595,4.0,tacos,0,0,0,Low
744,Db1RvODC5y4DyKC0LPpanQ,0,256,4.0,buffets,1,1,0,Medium
745,9pfwW8MvEWgFUjN2HQD7JQ,0,203,4.0,persian,1,1,0,Medium
746,rWk2uM_nXWJe1J5TddcU-w,0,42,2.5,icecream,1,1,0,Low
747,UoTPPOD1tB6emq8yfhkHHA,0,18,2.0,sandwiches,1,1,0,Low
749,C5BeHjwUnTZKsJC-6VeC8w,0,126,3.0,pastashops,1,1,0,Medium
750,un--SdbtI7YXC4HeMhyOFg,0,23,4.0,pizza,0,1,0,Medium
753,0stvkgthyTTqMl2gHBrk2g,0,116,4.5,sandwiches,0,0,0,Medium
756,YLaAQyt9detwubdLDXyBhQ,0,235,3.5,tex-mex,0,1,0,Medium
758,tnepbIVbFKZJErF0FGrtZA,0,41,2.0,hotdogs,0,1,0,Low
759,mdm7kpQLbJD3J-WxgYeLvA,0,18,4.5,breakfast_brunch,0,0,0,Low
760,wPemPKnDZlW18VB1_NDW-A,0,52,3.0,chinese,0,1,0,Low
761,rhgcWzrX8zYmajGOS7ZBPw,0,39,4.5,sandwiches,0,0,0,Low
762,_0O77Ep6vDuCLX3Ma7tj8A,0,6,4.0,hotdogs,0,0,0,Medium
763,iUVerBjIRvHUJ4t_5MjmWw,0,37,2.0,hotdogs,1,1,0,Low
764,7Y3B42mFUJI0JCQUxFnqiw,0,54,2.5,bubbletea,1,1,0,Low
765,DXjW8Gar51vqK-5SP8TMuA,0,83,4.0,breakfast_brunch,0,0,0,Medium
766,pLkI7rTVAF1tcKUxtPg-uQ,0,351,4.0,newamerican,0,1,0,Medium
767,x9IdjGmsB51OVcwFwJROqg,0,64,4.0,gastropubs,1,1,0,Medium
770,NqeSnJV2YQVz9E7wDD15Rw,0,192,3.5,cocktailbars,0,0,0,Medium
771,Fy9vts4JG67xbXV81opL2Q,0,500,4.5,hotdogs,1,1,0,Medium
772,25SissFt07nu8D4jlSp2Bw,0,186,4.0,italian,1,1,0,Medium
773,WOpEFjyd_9aH3tKngxZLpw,0,142,3.5,venues,1,1,0,High
774,Fknrudb49wLWaaYI0CJYOw,0,244,3.5,seafood,1,1,0,Medium
776,KbGVIC7XKkLY5bwtTVfGpA,0,29,4.5,chicken_wings,1,1,0,Medium
777,KDq7vr7iTkL6kN18MEMiGw,0,140,3.5,tradamerican,1,1,0,Medium
778,GN4Y_ciDBDiGjv8TJAMUqA,0,219,3.5,mexican,1,1,0,Medium
779,e6jZo-1jRrx8gQ8MAUdylQ,0,92,2.5,tradamerican,1,1,0,Medium
780,xFzwCnbOmWUE_r4zDUts5w,0,92,3.5,teppanyaki,1,1,0,Low
781,wrNNYaLz8vfqvKzafGjnQA,0,573,3.5,cajun,1,0,0,Medium
784,ZKUv7RFzJ-vrY5RSrGSyxg,0,94,4.5,wine_bars,1,1,0,Medium
786,3Q40CA5T8ev10dY4rhz7JA,0,60,3.5,salad,0,1,0,Low
787,twNVNiknrbxc3iwAz15rWw,0,4,2.0,sandwiches,0,1,0,Low
788,GMig8rc2x9Y_Bl7tXF4wXg,0,57,4.5,cocktailbars,0,0,0,Medium
789,7Kn8g-hm_V_6TUIDfF5IIA,0,1022,4.5,tapas,1,1,0,Medium
790,Wj71IYNYXPTeXiifvpJxhw,0,981,4.0,cocktailbars,0,1,0,Medium
791,FquUMNqS1wcQ4h-BngwRvw,0,1074,3.5,newamerican,1,1,0,Medium
792,RDx3dQfFGw9MGy_sJfmeTQ,0,65,4.5,mediterranean,1,1,0,Medium
793,9gipDs4tb47SK0zTrCOBqA,0,1901,4.0,latin,0,1,0,Medium
794,AmnHxTCusvEleAtDD76p4A,0,21,4.5,sandwiches,0,0,0,Medium
795,2Yj62Zx22IQO_8U00DUcWw,0,307,3.5,french,0,1,0,High
796,okJLsY6V-YZocKR7ULezlg,0,147,3.0,breakfast_brunch,0,0,0,Medium
797,zGXLe-CZ6QTUtRZl5rfSKg,0,355,3.5,breakfast_brunch,0,1,0,High
798,hUMwdLyZFTSySHSJkdeKVw,0,606,4.0,vegan,1,1,0,Medium
799,PlMinVhlJJdllFIIaJg_sg,0,210,4.0,salad,0,0,0,Medium
800,89xKouh2qfXqwkIQ7kBNgg,0,293,3.5,italian,0,1,0,Medium
802,ai5EoQurQ2p62nWki63AvQ,0,22,4.5,tradamerican,1,1,0,Medium
804,yGEfIoLiZcRPr6fXAIqQBw,0,459,4.0,cocktailbars,1,1,0,Medium
805,PcUxrG2jbbsrNksa-rv4wQ,0,380,3.5,cocktailbars,0,1,0,Medium
807,wkHpLVptUXD4-EbvFEhefA,0,416,3.0,steak,1,1,0,High
808,C37T12bal2XCjcw1BwyPig,0,33,3.5,sportsbars,0,1,0,Medium
809,4-AA8upb5-VG8t_o4cEw-Q,0,640,4.0,wine_bars,0,0,0,High
810,bUg07AVkdt2HagDFbNv7bw,0,912,4.0,seafood,0,0,0,Medium
811,V2kn1tg_tDrU2uQ4g5XBog,0,49,3.5,breakfast_brunch,1,1,0,Medium
812,P5Fnpc3kiLhKEiAIi2-c4Q,0,453,3.5,icecream,1,1,0,Medium
