X,Y,id,Unnamed: 3,0,1
-10774390.9494,3921457.961,81,,-96.78800066925061,33.19682150345771
-10773390.9494,3921457.961,82,,-96.77901751640941,33.19682150345771
-10772390.9494,3921457.961,83,,-96.77003436356821,33.19682150345771
-10771390.9494,3921457.961,84,,-96.76105121072702,33.19682150345771
-10770390.9494,3921457.961,85,,-96.75206805788584,33.19682150345771
-10769390.9494,3921457.961,86,,-96.74308490504464,33.19682150345771
-10768390.9494,3921457.961,87,,-96.73410175220344,33.19682150345771
-10789390.9494,3920457.961,88,,-96.92274796186854,33.18930412624544
-10788390.9494,3920457.961,89,,-96.91376480902734,33.18930412624544
-10787390.9494,3920457.961,90,,-96.90478165618616,33.18930412624544
-10786390.9494,3920457.961,91,,-96.89579850334496,33.18930412624544
-10785390.9494,3920457.961,92,,-96.88681535050375,33.18930412624544
