,id,is_claimed,is_closed,review_count,rating,Pickup Available,Delivery Available,Reservation Available,Price Level,number of photos,City,State,Opening Time,Closing Time,Has Messaging
111,DTU6zs0SJcii5r8TetsSgA,False,False,7,3.0,1,1,0,Low,1,Little Elm,TX,1100,2200,0
112,oSrcfY9N4TFztv2agouNtA,True,False,24,1.5,1,1,0,Low,3,Little Elm,TX,0800,2100,0
113,5Zpv34Q0FedYu9A24Felgw,False,False,155,4.0,0,1,0,Medium,3,Little Elm,TX,1100,2130,0
114,8bZb25LrWSE4bbVtQqHQaQ,True,False,142,3.5,1,1,0,Medium,3,Little Elm,TX,1100,2100,1
115,R0dGrbc1yTa48VLV91InUg,True,False,7,1.5,1,1,0,Low,3,Frisco,TX,0800,2100,0
116,g6H_JUQC_dV14MZvkVEsLg,True,False,45,3.5,1,1,0,Medium,3,Frisco,TX,1100,1500,0
117,VsQdpn2_KxXOBtj_cbLfCg,True,False,95,3.5,1,1,0,Medium,3,Frisco,TX,1100,2130,0
118,aB5bP5VAL7wpd5YyYV-HxQ,True,False,201,3.5,1,1,0,Medium,3,Frisco,TX,1100,2100,1
119,8F-LNn0pl3SVLYeFceVM5g,True,False,230,3.5,1,1,0,Medium,3,Frisco,TX,1100,2100,0
120,28BwwPQHZQUk_T-bifn_NQ,False,False,171,3.5,0,1,0,Medium,3,Frisco,TX,1100,2100,0
121,q6ML8MCgbh7hZmRxVNCKIA,True,False,117,1.5,0,1,0,,3,Frisco,TX,1045,2200,0
122,bqdjUIwYVlg8T00hzAgU3Q,True,False,154,3.5,1,1,0,Medium,3,Frisco,TX,1100,2100,0
123,SCqQaNz-VdtJsBF0-rDhug,True,False,73,2.5,1,1,0,Medium,3,Frisco,TX,1000,2100,0
124,X16alWsHoP34DBWC68bQWg,True,False,22,3.0,1,1,0,,3,Frisco,TX,1030,2200,0
125,MhXsR-K3udMpgiA4Pukrhw,True,False,174,2.5,1,1,0,Medium,3,Frisco,TX,1045,2200,0
126,6hDHVCKSnIPQG0TGkro_2w,True,False,194,3.0,1,1,0,Medium,3,Frisco,TX,1030,2200,0
127,HeSDtvFdccnj7Q-IR6KcsQ,True,False,32,3.5,1,1,0,,3,Frisco,TX,0700,2100,0
128,BjTP0NhxjO3Z69-uDwjlIw,True,False,55,4.0,1,1,0,Low,3,Frisco,TX,1000,2100,0
129,SxxFkcwfNxIbIBQ2JiwBgw,False,False,10,3.0,0,1,0,Medium,3,Frisco,TX,1000,2300,0
130,n7O4vrA0Pyoo2Es4lksdrg,True,False,48,2.5,1,1,0,Low,3,Frisco,TX,1100,2100,0
131,YJJeGldNu5riaHzdJckB4g,True,False,61,3.0,0,1,0,Low,3,Frisco,TX,1000,2300,0
132,TkXqAEK6DsbuMM32YtUQDA,False,False,2,1.0,0,0,0,,0,Frisco,TX,,,0
133,BzUMAbGLTppRzIG-fbSOOg,True,False,126,3.0,0,0,0,Low,3,Frisco,TX,0600,2200,0
134,wUPD1IWHdyh3nB4cH6e9KQ,True,False,14,2.0,0,1,0,Low,3,Frisco,TX,1030,2200,0
135,jmHvUUG1DTNeey2cGXfTUA,True,False,127,4.0,1,1,0,Low,3,Frisco,TX,1100,0000,1
136,wpvggwrUd-roXvIr1lSGRA,True,False,97,3.5,1,1,0,Low,3,Frisco,TX,1030,2230,1
137,2Nt2Q5nxHI39RgYxZZ9N-g,True,False,87,3.0,1,1,0,Medium,3,Frisco,TX,1000,2200,1
138,imuBwQgy4AZWx1y9YTwUDA,True,False,8,4.5,0,0,0,Low,3,Frisco,TX,0000,0000,0
139,KyMqxVfeBNCnSLZEkr4y0g,True,False,160,2.0,0,1,0,Low,3,Frisco,TX,0000,0000,0
140,uhOSmiTRR2r40pU5KV-X_A,True,False,42,3.0,0,1,0,Low,3,Frisco,TX,0800,0000,1
141,gu0isKhH9VBEgQp3YvaMfw,True,False,42,1.5,1,1,0,,3,Frisco,TX,0600,2300,0
142,-KQ-YXlgq9-dlIwbVbRW-A,True,False,42,1.5,0,1,0,Low,3,Frisco,TX,0500,0200,0
143,oXuxRsNrLXx7QmH2MRbBRg,True,False,52,1.5,0,1,0,Low,3,Frisco,TX,1000,2300,1
144,LADOBU3eimEr4rEkxqFtQg,False,False,3,2.5,1,1,0,,2,Frisco,TX,,,0
145,p7iTBe8fMg4CWTNqSpSqxQ,False,False,10,2.5,0,1,0,,2,Frisco,TX,1630,2100,0
146,xgDwXAzxUkgUwxtiJ2bKog,False,False,8,3.5,1,1,0,,2,Frisco,TX,1100,2200,0
147,sOnue1eNSFOqqA9ntSDsZQ,True,False,2,2.0,1,1,0,,3,Frisco,TX,1130,2130,1
148,X0GMsxXcQncx71ELKtSp8w,True,False,119,4.0,0,0,0,Low,3,Frisco,TX,1000,2100,0
149,KFdJyuoszE7NEEBxQS5KFA,True,False,115,4.5,1,1,0,Medium,3,Frisco,TX,1100,2100,0
150,_XCKzCdyvs5TOnNAKwF5EA,True,False,76,3.0,0,0,0,Medium,3,Frisco,TX,1045,2200,0
151,mCaqhmCERtXf1Ytt3Kzb5g,True,False,93,4.0,1,1,0,Medium,3,Frisco,TX,0700,1430,0
152,S-Xv3BCb8Y3UstSxGemIwg,True,False,130,3.5,1,1,0,Medium,3,Frisco,TX,1100,2130,0
153,_dEy7wHFK5472D9VFYJ92Q,True,False,206,3.0,0,1,0,Low,3,Frisco,TX,0630,2200,0
154,BW2dTsDsfvg28RnscUkAxw,True,False,56,4.0,1,1,0,Low,3,Frisco,TX,1000,2100,0
155,T-KPkZ235kqoWFbDx2sONQ,True,False,162,1.0,0,1,0,Low,3,Frisco,TX,0400,0100,0
156,qxm8VbFFy6-GyLLbgscLyA,True,False,60,2.5,1,1,0,Low,3,Frisco,TX,1030,2200,1
157,xnKXnKjFki9Ty5DS36tsyg,True,False,67,3.5,1,1,0,,3,McKinney,TX,0700,2100,0
158,AQ0OMprwnFlYkFRoT6Fr-w,True,False,120,3.5,0,0,0,Medium,3,McKinney,TX,0700,1430,0
159,yyInJ3lw7rXGkp2TEnb3nw,True,False,233,4.0,1,1,0,Low,3,McKinney,TX,1030,2200,0
160,s3lTK380dKKklsyQU4CARQ,True,False,13,4.0,0,0,0,,3,Little Elm,TX,0830,1800,1
161,2CcoD1fRfNroaGQ_sAliNQ,True,False,3,4.5,0,1,0,,3,Little Elm,TX,0800,1500,0
162,PzDZy9PTCYbuaMONj6Tiag,False,False,17,4.0,0,0,0,Low,3,Little Elm,TX,1000,0000,0
163,z24kI4C6usrf-HrHV0-2ig,True,False,149,3.5,1,1,0,Low,3,Little Elm,TX,1700,2200,0
164,a_14dgr5WOW_XYkEXbep0A,False,False,36,2.0,0,0,0,Low,3,Little Elm,TX,1100,2200,0
165,aSS07ssvQ3ewdXhx90-Oxw,True,False,53,4.0,1,1,0,,3,Little Elm,TX,1100,2100,0
166,UPlWGA2JmY5fkZRyvXUQdA,True,False,142,3.0,1,1,0,Medium,3,Little Elm,TX,1100,2100,1
167,Xj1xaMizHb87U5HwIkdZFA,True,False,315,4.0,0,1,0,Medium,3,Little Elm,TX,1030,2130,0
168,9wAA64HxlsDGGMUviXxXyQ,True,False,117,3.5,1,1,0,Medium,3,Little Elm,TX,0700,1400,1
169,hMv8yA_1OTJ4ieH_5aAMuQ,True,False,69,3.0,0,1,0,Medium,3,Little Elm,TX,1000,2200,1
170,_pJrK5CgwDVO_Y0rYUCMTw,False,False,37,1.5,0,0,0,Low,3,Little Elm,TX,,,0
171,Alwgh6S_MMuy-2bwbDRKtQ,True,False,54,2.5,1,1,0,Low,3,Little Elm,TX,1000,2100,1
172,7dSJCOqiBd3dWkUaccvVqw,False,False,12,3.5,0,0,0,Low,3,Little Elm,TX,1000,1900,0
173,LBX-yu132S4qui9rTNFCyg,True,False,9,1.5,1,1,0,,1,LITTLE ELM,TX,,,0
174,diEQoYhhuR2OrT7MEa_ORg,True,False,21,2.0,0,1,0,,3,Little Elm,TX,0000,0000,0
175,Wrjm9S6WKKDj2kxqV40jqw,True,False,7,4.0,0,0,0,Low,3,Little Elm,TX,0000,0000,0
176,TvfnPWq0_KAqFepc0Eowrg,True,False,388,4.0,1,1,0,Medium,3,Frisco,TX,0700,2200,0
177,Z3LXiGk9ArgQSNUKsihuhw,True,False,258,4.5,1,1,0,Medium,3,Frisco,TX,1100,1430,0
178,HCRlFBO5C21rGzQN8qA_cg,False,False,2,4.5,0,0,0,,0,McKinney,TX,,,0
179,XacNYTPpUvx7ztO9b56OYw,True,False,24,2.5,1,1,0,,3,Frisco,TX,1100,2200,0
180,DbGshk1aSz2gvfKadXf3hA,True,False,17,2.5,1,1,0,Low,3,Frisco,TX,0900,2200,0
181,e5hGi2KXJUWT1ijs_7Z-bg,True,False,258,4.0,0,1,0,Medium,3,McKinney,TX,1100,2130,0
182,ZRWexafbbMuXHWFbDcyBMw,False,False,50,3.5,0,1,0,,3,McKinney,TX,0800,2100,0
183,J5KgGmPmzNX5owUyZVQIVg,True,False,314,3.5,1,1,0,Medium,3,McKinney,TX,0800,2100,1
184,Vx3NrSUUhBBbd1EGEh8NDQ,True,False,56,4.5,0,1,0,,3,McKinney,TX,1100,2100,1
185,Mk-vt-KaxL5vKEbm78dAog,True,False,129,4.0,1,1,0,Medium,3,McKinney,TX,1630,2100,0
186,b69SigqPWocfdrFAwA-NFg,False,False,1,1.0,0,0,0,,0,McKinney,TX,,,0
187,kUg9xLGJRJ8v8rh2C6PKMA,True,False,112,3.0,1,1,0,Medium,3,Little Elm,TX,1100,2100,0
188,poOYI-vXRWHmhz7fRPd3gA,True,False,61,4.0,0,0,0,Medium,3,Frisco,TX,1100,2300,0
189,qHWxt_82KsiDsU4_tiMlNQ,True,False,57,3.5,1,1,0,Low,3,Frisco,TX,1100,2130,0
190,I8kjxgLslqaNwybm1dKkag,True,False,20,4.5,1,1,0,,3,Frisco,TX,0700,1400,1
191,kUTLx_nG_tZq5mxHV20jMA,True,False,133,3.5,1,1,0,Low,3,Frisco,TX,1030,2200,0
192,cEIkirpGljclPdTXg-mHgQ,True,False,447,3.5,1,1,0,Medium,3,Frisco,TX,0700,2100,0
193,JY1CpLWXdTils6iJ6kT7Xw,True,False,30,2.0,1,1,0,Medium,3,Frisco,TX,1100,2100,0
194,PyOrQnHcPq1hjdFUw7ScQA,True,False,1,5.0,0,0,0,,3,Frisco,TX,1100,1900,1
195,trYkuKXsOZcyczi12Sfyiw,False,False,3,5.0,0,0,0,,3,Frisco,TX,,,0
196,w0Qo8DKuUkdjMtGn0GiZJQ,True,False,74,3.5,0,1,0,,3,Frisco,TX,1100,2200,0
197,UVEbaBKgCmlrWL0RuTkcyg,True,False,52,4.0,1,1,0,,3,Frisco,TX,1100,0000,1
198,LWYqf2ipwcQF-8LCkJakOw,True,False,107,3.0,1,1,0,Medium,3,Frisco,TX,0900,2200,0
199,XfAZ2ubt2gMgFd0t1Cpwgw,True,False,38,4.0,1,1,0,,3,Frisco,TX,1100,2200,1
200,O95IXuZZ_LjKXH90iWzPzw,True,False,104,3.5,1,1,0,,3,Frisco,TX,1000,2200,0
201,zxWGR6Rt1mGCqu3BpRGajw,False,False,24,3.0,1,1,0,Medium,3,Frisco,TX,1000,2200,0
202,Llw4JYGLDZByKQ0dtt7Qhg,True,False,97,3.0,1,1,0,Medium,3,Frisco,TX,1030,2145,0
203,uNKeGBJiVHvWphLECWrPcg,True,False,8,3.5,1,1,0,,3,Little Elm,TX,1500,2000,0
204,hjKduY4M-1qwLxeYsjH_JA,True,False,47,4.5,1,1,0,,3,Frisco,TX,0700,2000,1
205,iRIG9UDwZzQQqzVXwMb6-A,True,False,141,3.5,1,1,0,Low,3,Frisco,TX,1500,2200,0
206,QBimuzLMIEPnkACx91CuVg,True,False,14,4.5,0,0,0,,2,Little Elm,TX,0530,2000,0
207,KCFAvlZcU8KOkx-MnOThcQ,False,False,3,5.0,1,1,0,,3,Frisco,TX,1100,2100,0
208,bCgqc6RDr0a5c0t5giS5RA,True,False,28,3.0,1,1,0,Low,3,Frisco,TX,0600,2300,0
209,IlMI7h8NdQUeBd6aTcp_qg,True,False,33,2.0,1,1,0,Low,3,Frisco,TX,0930,2300,0
210,FezBLXOhaZHG59R_X1fQaA,True,False,10,2.5,1,1,0,Low,3,Frisco,TX,0900,2100,0
211,sj4x_LtOVruBSHzCMUW-vw,True,False,226,4.0,0,1,0,Medium,3,Frisco,TX,1100,2100,0
212,icK467zSGbcVKOXvYG-GXQ,True,False,47,3.5,1,1,0,,3,Frisco,TX,1000,2100,0
213,WpOkFfb8xuaYV8SQfc3Yzg,True,False,123,4.5,0,0,0,Medium,3,Frisco,TX,0700,1430,0
214,IMzB-8Y1hsXqQ6Ey9Vw3oQ,True,False,6,4.5,0,0,0,,3,FRISCO,TX,,,0
215,xUzzt6pgTf0Sy01X-ge63w,True,False,329,4.5,0,1,0,Medium,3,Frisco,TX,0700,1400,0
216,ENPhfwodl_g1ey02eGY6tg,True,False,155,4.0,1,1,0,Medium,3,Frisco,TX,1100,1500,0
217,os_9iQIiQ--eSFvNAIul0A,True,False,317,4.0,1,1,0,Medium,3,Frisco,TX,1200,2100,0
218,QBhNEbSTqoRAQoCAh0gwAQ,True,False,619,4.0,1,1,0,Medium,3,Frisco,TX,1200,2100,0
219,Z3N__-JLDo1k0ukdH8Mm8g,True,False,408,4.0,1,1,0,Medium,3,Frisco,TX,1100,1430,1
220,K7cmD8XdKgMZO0KDfsw8VA,True,False,148,4.5,1,1,0,Medium,3,Frisco,TX,1400,2130,0
221,r3TwC0SGxwqlycndwJvRog,False,False,90,3.0,1,1,0,Medium,3,Frisco,TX,0700,2100,0
222,TTjP3BiTwjjUajqQZcU8KQ,True,False,199,4.0,1,1,0,Medium,3,Frisco,TX,1115,1430,0
223,AKMIIvW8JDuDOjRzaN4ntw,True,False,96,4.0,1,1,0,Low,3,Frisco,TX,1100,2130,0
224,NXLO7IxmBkUMe2wBm2Jf1g,True,False,311,4.0,0,1,0,Medium,3,Frisco,TX,1100,2130,0
