,id,is_claimed,is_closed,review_count,rating,Restaurant Category 1,Restaurant Category 2,Restaurant Category 3,Pickup Available,Delivery Available,Reservation Available,Price Level,number of photos,City,State,Zip Code,Opening Time,Closing Time,Has Messaging
215,AYDvUMNFiDH_55RHx2TuYA,True,False,22,2.5,bakeries,breakfast_brunch,coffee,0,1,0,Medium,3,Conroe,TX,77304,600.0,1400.0,0
216,1zakWTC9a2MqylwHWklggQ,True,False,12,2.5,sandwiches,,,1,1,0,Low,3,Conroe,TX,77304,0.0,0.0,0
217,3h9SYQ05YLdtz4h7l-qqQQ,True,False,187,4.0,italian,,,1,1,0,Low,3,Conroe,TX,77304,1100.0,2000.0,0
218,eChiNSVrUyj9FlfZ5rkGcg,False,False,5,5.0,mexican,,,0,1,0,,2,Conroe,TX,77301,,,0
219,Km7wuxQuPptNVuYtjaZunA,True,False,83,2.5,mexican,bars,,1,1,0,Medium,3,Conroe,TX,77301,1100.0,2130.0,0
220,VsjGahfQZY5xuulf982cUA,True,False,70,3.5,tex-mex,mexican,,1,1,0,Low,3,Conroe,TX,77301,1030.0,2130.0,0
221,aUOd7OaTueii001zmOcJ1w,True,False,74,3.0,sandwiches,salad,soup,1,0,0,Medium,3,Conroe,TX,77304,600.0,2130.0,0
222,9a8ZUVbimuovBAGFNHxCFg,True,False,77,3.0,hotdogs,chickenshop,salad,0,1,0,Low,3,Conroe,TX,77304,600.0,2200.0,0
223,cpnUZukHd-QMiTERAQnOxw,True,False,45,1.5,pizza,desserts,chicken_wings,1,1,0,Low,3,Conroe,TX,77301,1100.0,2200.0,0
224,Wvm-UlP1Xi4_q8tmuO4PXA,True,False,45,2.5,chinese,hotdogs,,1,1,0,Low,3,Conroe,TX,77304,1030.0,2130.0,0
225,73w3Q2-ysisg_gxld8nSHg,True,False,55,2.5,burgers,hotdogs,,0,1,0,Medium,3,Conroe,TX,77304,1100.0,2200.0,0
226,T4B4EozXu8WifpRpFA0SSQ,True,False,14,3.5,sandwiches,delis,catering,0,1,0,Medium,3,Conroe,TX,77304,1030.0,2000.0,1
227,edv_G-d0mxJepK-AGBghWg,True,False,63,2.5,mexican,hotdogs,,1,1,0,Low,3,Conroe,TX,77304,1045.0,2200.0,0
228,am-ehw1Nv7IHn7JSb_snBg,True,False,25,1.0,hotdogs,burgers,coffee,0,1,0,Low,3,Conroe,TX,77301,0.0,0.0,0
229,b_f0nMvAaPPVIftvW8TVnw,True,False,13,2.5,hotdogs,chicken_wings,,1,1,0,Low,3,Conroe,TX,77301,1030.0,2200.0,0
230,JnggN2wd6GQK-YLct0NpRQ,True,False,1,5.0,hotdogs,,,0,0,0,Low,0,Conroe,TX,77301,,,0
231,2pqnkUXwG4hyhy2artd9Jg,True,False,14,1.5,burgers,hotdogs,,0,1,0,Low,3,Conroe,TX,77301,600.0,0.0,0
232,F1AG0ya_v9i0KkcpTCuXgQ,True,False,57,5.0,pizza,burgers,fishnchips,0,0,0,Medium,3,Conroe,TX,77301,1100.0,2000.0,1
233,U0NBVAlJp1IGhV47wIyp-Q,True,False,66,4.0,italian,,,0,1,0,Medium,3,Conroe,TX,77301,1100.0,1430.0,0
234,H_fzhlxzSz474pt-bHcqQw,True,False,3,5.0,foodtrucks,mexican,,0,0,0,,3,Conroe,TX,77301,1200.0,2000.0,0
235,wgLINDW9o5OK3a4RvCmzBA,True,False,2,5.0,bbq,foodtrucks,streetvendors,1,1,0,,3,Conroe,TX,77301,1700.0,2100.0,1
236,W60GB7FJylj0vabFd2Kdmw,True,False,15,2.0,southern,chickenshop,hotdogs,0,1,0,Low,3,Conroe,TX,77301,1030.0,2100.0,0
237,ZGOcfti8narC8PyJEchXng,True,False,17,2.0,burgers,hotdogs,icecream,0,0,0,Low,3,Conroe,TX,77301,630.0,2200.0,1
238,Ecj0R9JIKtKqsHtGTxL32w,True,False,7,2.0,sandwiches,,,1,1,0,Low,3,Conroe,TX,77301,800.0,2200.0,0
239,cLzzlSEC6JxwGOaNwKDwjg,True,False,481,4.0,breakfast_brunch,comfortfood,newamerican,0,1,0,Medium,3,Conroe,TX,77301,700.0,2100.0,1
240,0Y34t6etnZRtrc0yhsqOxw,False,False,15,4.0,noodles,ramen,coffee,1,1,0,,3,Conroe,TX,77301,1100.0,2200.0,0
241,VxfNJbcpUb8m03cG4L5Unw,True,False,17,5.0,salvadoran,,,0,1,0,,3,Conroe,TX,77301,800.0,1600.0,1
242,Smti6JomKQHkBIbglvRK3g,False,False,97,4.0,icecream,newamerican,,0,1,0,Low,3,Conroe,TX,77301,800.0,2200.0,0
243,fheUmYFc18wunIgBk2dF-A,False,False,21,4.5,mexican,,,0,0,0,Low,3,Conroe,TX,77301,,,0
244,6YDxj3OApWZjUIWwWeJAIg,True,False,20,4.0,customcakes,bakeries,cafes,1,1,0,,3,Conroe,TX,77301,730.0,1800.0,0
245,r3wWVMYGSonFIMtIjnSXOw,False,False,1,4.0,mexican,,,0,0,0,,0,Conroe,TX,77301,,,0
246,atQy7GHk-5e_Nk5NlFnL_A,False,False,4,4.0,food_court,,,0,0,0,,3,Conroe,TX,77301,700.0,1500.0,0
247,xBhX86tRt3cBgM8WuTlA2g,False,False,1,1.0,cafes,,,0,0,0,,0,Conroe,TX,77301,,,0
248,Oa9PyrRMCgDPykrGPg45TA,True,False,4,5.0,tacos,foodtrucks,,0,0,0,,3,Conroe,TX,77301,700.0,2300.0,1
249,Uucfm9lGFVGxVm6qPHparQ,False,False,1,5.0,honduran,,,0,1,0,,1,Conroe,TX,77356,,,0
250,DztlfjVdKWtTE2WiXMsukw,True,False,1,1.0,soulfood,bbq,,0,0,0,,1,Conroe,TX,77301,2100.0,200.0,1
251,NAb8vfpLQLHuk_J2asg3UQ,False,False,8,4.5,foodtrucks,asianfusion,chicken_wings,0,0,0,,3,Conroe,TX,77301,,,0
252,jmQOQsHSX-FjnFC5oY9pvg,True,False,3,3.5,foodtrucks,pizza,,0,0,0,,3,Willis,TX,77318,1200.0,1900.0,1
253,onYR_pw8d1VkG88aQx5laQ,True,False,115,4.5,breakfast_brunch,sandwiches,tradamerican,0,0,0,,3,Conroe,TX,77301,700.0,1500.0,0
254,ggIHJQTOJCIqR4evEkl4sQ,False,False,136,4.0,mexican,,,0,0,0,Low,3,Conroe,TX,77301,1000.0,2330.0,0
255,rZ0PqztaYPq_Veaae_v5jw,True,False,114,4.5,foodtrucks,tacos,,0,1,0,Low,3,Conroe,TX,77301,700.0,0.0,0
256,43vVo55YV2Lo5M2vXikuPA,False,False,11,3.5,mexican,,,0,1,0,,3,Conroe,TX,77301,,,0
257,gnuUT--vajDUquhB8nrutg,False,False,8,3.5,mexican,,,0,1,0,,3,Conroe,TX,77301,1100.0,2300.0,0
258,Ywaw0bo0UKTeUmXw7DyLjA,True,False,2,2.5,mexican,,,0,0,0,,3,Conroe,TX,77301,700.0,2200.0,1
259,pms-w2H0fQd0F-FqurwoQA,False,False,2,1.5,restaurants,,,0,1,0,Low,0,Conroe,TX,77301,,,0
