,id,is_claimed,is_closed,review_count,rating,Restaurant Category 1,Restaurant Category 2,Restaurant Category 3,Pickup Available,Delivery Available,Reservation Available,Price Level,number of photos,City,State,Zip Code,Opening Time,Closing Time,Has Messaging
296,yPe4i13GlCNwIRTtpu26HQ,True,False,29,3.5,mediterranean,syrian,meats,1,1,0,,3,Frisco,TX,75034,0600,2000,1
297,ZpHWDSNRxglQ0PN7gZwC5w,True,False,19,2.0,indpak,burgers,pizza,1,1,0,,3,Frisco,TX,75034,,,0
298,dLJ0NeQ4UG6mWyNAncJp7Q,True,False,108,1.5,chicken_wings,hotdogs,,1,1,0,Low,3,Frisco,TX,75033,1030,2200,0
299,aJJNlseeJcz74jsKi4ToJw,True,False,56,2.5,hotdogs,burgers,coffee,0,1,0,Low,3,Frisco,TX,75034,0500,0000,0
300,KHzBjElVfG2QCk7sxfF9jg,True,False,14,2.0,sandwiches,,,1,1,0,Low,3,Frisco,TX,75034,0900,2200,0
301,S5a32egBdTL-ZyF9DnbVQQ,False,False,29,1.5,fooddeliveryservices,thai,,0,1,0,,3,Frisco,TX,75035,1100,2100,0
302,gWb-EDAWKT1g-ZnTn4AlzA,False,False,3,2.5,fooddeliveryservices,vegan,,0,0,0,,3,Frisco,TX,75035,1100,2100,0
303,izwUMcJu2uTAQjrifb-y_Q,False,False,6,1.0,fooddeliveryservices,thai,,0,1,0,,3,Frisco,TX,75035,1100,2100,0
304,Q5FMcoOqQMV5vgK1B-2O_g,True,False,90,4.5,desserts,coffee,breakfast_brunch,1,1,0,Low,3,McKinney,TX,75070,0700,2030,1
305,P6nlT31dF2Lmqg2NmlaBFw,True,False,26,3.0,pizza,,,1,1,0,,3,McKinney,TX,75070,1030,2200,1
306,zOKgw6Fhniw1Sgrb8ZjQoA,True,False,74,3.0,burgers,hotdogs,icecream,0,0,0,Low,3,McKinney,TX,75070,1030,2200,0
307,eKUphiarXq87lHjyjY9IAg,True,False,41,4.5,bagels,coffee,sandwiches,0,0,0,,3,Frisco,TX,75034,0700,1330,0
308,MTm90fxhZmoWiIpHYhIinw,True,False,20,3.0,italian,pastashops,pizza,1,1,0,,3,Frisco,TX,75034,1100,2100,0
309,XuLeRR_exu0uMvXh_ndZgQ,True,False,35,4.0,japanese,sushi,,1,1,0,,3,Frisco,TX,75034,,,0
310,Sz0vgWkH095oQ6Z95bKNWA,True,False,266,4.0,laotian,thai,,1,1,0,Medium,3,Frisco,TX,75034,1100,2100,1
311,XY2R-4zbFaFvou7jvUELDw,True,False,208,4.0,cajun,seafood,,0,1,0,Medium,3,Frisco,TX,75036,1100,2100,1
312,Dl9E_6GJGPyfpts8mF3blQ,True,False,175,4.0,pizza,,,1,1,0,Medium,3,Frisco,TX,75034,1500,2100,0
313,QDkEt8Awu0oU9I6u61ef8g,True,False,108,3.5,mexican,cafes,,0,1,0,,3,Frisco,TX,75034,0630,2200,0
314,MNbE9yisXquR6jZU7g8LHg,True,False,121,3.5,thai,,,0,1,0,Medium,3,Frisco,TX,75034,1100,1430,1
315,5CEaI_x0Thq2peM2Hg8loA,False,False,3,1.5,sportsbars,chicken_wings,tradamerican,1,1,0,,1,Frisco,TX,75034,1100,2300,0
316,TyRw4hi7yGcYvty-JWRPlA,True,False,204,1.5,burgers,hotdogs,,0,1,0,Low,3,Frisco,TX,75036,0000,0000,0
317,KHAZfWpTLESjsSa4MhrnAA,True,False,36,3.5,juicebars,sandwiches,,1,1,0,,3,Frisco,TX,75034,0700,2100,0
318,uCtRjGhSmzOTsTxTZqi48g,True,False,45,3.5,hotdogs,delis,sandwiches,1,1,0,Low,3,Frisco,TX,75036,1000,2100,0
319,Mttwq_s9mf8luCdBi-DfPg,True,False,67,2.5,hotdogs,chickenshop,salad,0,1,0,Low,3,Frisco,TX,75034,0600,2200,0
320,kAW6buXIunh-Pehq4Hewhg,True,False,21,3.0,hotdogs,,,0,0,0,Low,3,Frisco,TX,75034,,,0
