,id,is_claimed,is_closed,review_count,rating,Restaurant Category,Pickup Available,Delivery Available,Reservation Available,Price Level,number of photos,City,State,Opening Time,Closing Time,Has Messaging
70,43KddYpd1W3JzsLJDq3nPA,True,False,288.0,4.0,salad,1.0,1.0,0.0,Medium,3.0,Carrollton,TX,1100,2100,0
71,ATPDxQwyMIm_PcAmnS6MoQ,True,False,69.0,4.0,mideastern,1.0,1.0,0.0,,3.0,Carrollton,TX,1030,2300,0
72,oS4D0fg1XCmGuMIVK2DM9g,False,False,9.0,4.0,japanese,1.0,1.0,0.0,,3.0,Plano,TX,1100,2130,0
73,0Tm91t4lBFEkWc_Xg7G1fw,True,False,153.0,4.0,vietnamese,0.0,1.0,0.0,Low,3.0,Plano,TX,1100,2200,0
74,NANTweNO2Zx-aSKiuPr-GA,True,False,372.0,3.0,diners,1.0,1.0,0.0,Medium,3.0,Plano,TX,0600,1500,0
75,qW25xxa233AUZd-mbRvdmQ,True,False,420.0,4.0,tradamerican,1.0,1.0,0.0,Low,3.0,Plano,TX,1030,2130,0
76,iMRzcxFpOV8EIMI08AigDg,True,False,296.0,4.0,breakfast_brunch,1.0,1.0,0.0,Medium,3.0,Carrollton,TX,0700,1430,0
77,dchrxzsM6NaPYnyTUzGXTA,True,False,190.0,3.5,italian,1.0,1.0,0.0,Medium,3.0,Plano,TX,1100,2200,0
78,znUl3jG17m0xkZ28TseV-A,True,False,192.0,3.5,southern,1.0,1.0,0.0,Low,3.0,Carrollton,TX,1100,2100,0
79,8iP_UWze355zFdWEKcLUMA,True,False,130.0,3.5,tex-mex,1.0,1.0,0.0,Medium,3.0,Carrollton,TX,1100,2100,0
80,FGEqlps-g0bYpI3z2N4mrA,True,False,8.0,3.5,chicken_wings,1.0,1.0,0.0,,3.0,Carrollton,TX,1100,2200,1
81,XdLT3fjzp-cqhfF0xlQsnw,True,False,83.0,3.5,mexican,1.0,1.0,0.0,Low,3.0,Plano,TX,1030,2130,0
82,zdf0ruHhQvuoyO47s37dTg,True,False,120.0,3.0,sandwiches,1.0,1.0,0.0,Low,3.0,Carrollton,TX,1000,2100,0
83,xC8XGdl6EfXtaB9ALLiGWA,True,False,53.0,2.5,pizza,0.0,0.0,0.0,Low,3.0,Plano,TX,1015,0000,0
84,ded9aDN4VFt8rwOaqA5rlA,True,False,126.0,3.5,hotdogs,0.0,1.0,0.0,Low,3.0,Plano,TX,1000,0000,0
85,4dEwUfBrD39GdKwzGNd4XA,True,False,17.0,4.0,servicestations,0.0,0.0,0.0,Low,3.0,Plano,TX,0000,0000,0
86,ykpBePte11RV1iTy5P53JA,True,False,56.0,2.5,sandwiches,0.0,0.0,0.0,Low,3.0,Plano,TX,1100,2200,1
87,uvexzNLEn79MJDJMgbLkLA,True,False,42.0,2.5,hotdogs,1.0,1.0,0.0,Low,3.0,Plano,TX,0600,2300,1
88,h80l0gTR9ra1G1KjMABo3Q,True,False,496.0,4.0,tradamerican,1.0,1.0,0.0,Medium,3.0,Plano,TX,1100,2100,0
89,_1TxYuax6YUJn3OVLXkSUg,True,False,202.0,4.5,mediterranean,1.0,1.0,0.0,Medium,3.0,Plano,TX,1100,1430,0
