Y,X,id,Unnamed: 3,0,1
3885420.82701148,-10771061.5201113,867,,-96.75809189707627,32.92550997351545
3885420.82701148,-10770061.5201113,868,,-96.74910874423507,32.92550997351545
3885420.82701148,-10769061.5201113,869,,-96.74012559139388,32.92550997351545
3885420.82701148,-10768061.5201113,870,,-96.73114243855268,32.92550997351545
3885420.82701148,-10767061.5201113,871,,-96.72215928571148,32.92550997351545
3885420.82701148,-10766061.5201113,872,,-96.7131761328703,32.92550997351545
3885420.82701148,-10765061.5201113,873,,-96.70419298002909,32.92550997351545
3885420.82701148,-10764061.5201113,874,,-96.6952098271879,32.92550997351545
3885420.82701148,-10763061.5201113,875,,-96.6862266743467,32.92550997351545
3885420.82701148,-10762061.5201113,876,,-96.6772435215055,32.92550997351545
3885420.82701148,-10761061.5201113,877,,-96.6682603686643,32.92550997351545
3885420.82701148,-10760061.5201113,878,,-96.65927721582312,32.92550997351545
3885420.82701148,-10759061.5201113,879,,-96.65029406298193,32.92550997351545
3885420.82701148,-10758061.5201113,880,,-96.64131091014073,32.92550997351545
3885420.82701148,-10757061.5201113,881,,-96.63232775729954,32.92550997351545
3885420.82701148,-10756061.5201113,882,,-96.62334460445834,32.92550997351545
3885420.82701148,-10755061.5201113,883,,-96.61436145161714,32.92550997351545
3885420.82701148,-10754061.5201113,884,,-96.60537829877595,32.92550997351545
3885420.82701148,-10753061.5201113,885,,-96.59639514593475,32.92550997351545
3885420.82701148,-10752061.5201113,886,,-96.58741199309355,32.92550997351545
3885420.82701148,-10751061.5201113,887,,-96.57842884025236,32.92550997351545
3885420.82701148,-10750061.5201113,888,,-96.56944568741116,32.92550997351545
3885420.82701148,-10749061.5201113,889,,-96.56046253456996,32.92550997351545
3885420.82701148,-10748061.5201113,890,,-96.55147938172878,32.92550997351545
3885420.82701148,-10747061.5201113,891,,-96.54249622888759,32.92550997351545
3885420.82701148,-10746061.5201113,892,,-96.53351307604639,32.92550997351545
3885420.82701148,-10745061.5201113,893,,-96.5245299232052,32.92550997351545
3885420.82701148,-10744061.5201113,894,,-96.515546770364,32.92550997351545
3885420.82701148,-10743061.5201113,895,,-96.5065636175228,32.92550997351545
3885420.82701148,-10742061.5201113,896,,-96.4975804646816,32.92550997351545
3885420.82701148,-10741061.5201113,897,,-96.48859731184041,32.92550997351545
3885420.82701148,-10740061.5201113,898,,-96.47961415899921,32.92550997351545
3885420.82701148,-10739061.5201113,899,,-96.47063100615802,32.92550997351545
3884420.82701148,-10798061.5201113,900,,-97.00063702378854,32.91796939189004
3884420.82701148,-10797061.5201113,901,,-96.99165387094733,32.91796939189004
3884420.82701148,-10796061.5201113,902,,-96.98267071810614,32.91796939189004
3884420.82701148,-10795061.5201113,903,,-96.97368756526495,32.91796939189004
3884420.82701148,-10794061.5201113,904,,-96.96470441242376,32.91796939189004
3884420.82701148,-10793061.5201113,905,,-96.95572125958256,32.91796939189004
3884420.82701148,-10792061.5201113,906,,-96.94673810674136,32.91796939189004
3884420.82701148,-10791061.5201113,907,,-96.93775495390017,32.91796939189004
3884420.82701148,-10790061.5201113,908,,-96.92877180105897,32.91796939189004
3884420.82701148,-10789061.5201113,909,,-96.91978864821779,32.91796939189004
3884420.82701148,-10788061.5201113,910,,-96.9108054953766,32.91796939189004
3884420.82701148,-10787061.5201113,911,,-96.9018223425354,32.91796939189004
3884420.82701148,-10786061.5201113,912,,-96.89283918969419,32.91796939189004
3884420.82701148,-10785061.5201113,913,,-96.88385603685299,32.91796939189004
3884420.82701148,-10784061.5201113,914,,-96.8748728840118,32.91796939189004
3884420.82701148,-10783061.5201113,915,,-96.86588973117061,32.91796939189004
3884420.82701148,-10782061.5201113,916,,-96.85690657832941,32.91796939189004
3884420.82701148,-10781061.5201113,917,,-96.84792342548822,32.91796939189004
3884420.82701148,-10780061.5201113,918,,-96.83894027264702,32.91796939189004
3884420.82701148,-10779061.5201113,919,,-96.82995711980583,32.91796939189004
3884420.82701148,-10778061.5201113,920,,-96.82097396696464,32.91796939189004
3884420.82701148,-10777061.5201113,921,,-96.81199081412345,32.91796939189004
3884420.82701148,-10776061.5201113,922,,-96.80300766128224,32.91796939189004
3884420.82701148,-10775061.5201113,923,,-96.79402450844104,32.91796939189004
3884420.82701148,-10774061.5201113,924,,-96.78504135559984,32.91796939189004
3884420.82701148,-10773061.5201113,925,,-96.77605820275865,32.91796939189004
3884420.82701148,-10772061.5201113,926,,-96.76707504991747,32.91796939189004
3884420.82701148,-10771061.5201113,927,,-96.75809189707627,32.91796939189004
3884420.82701148,-10770061.5201113,928,,-96.74910874423507,32.91796939189004
3884420.82701148,-10769061.5201113,929,,-96.74012559139388,32.91796939189004
3884420.82701148,-10768061.5201113,930,,-96.73114243855268,32.91796939189004
3884420.82701148,-10767061.5201113,931,,-96.72215928571148,32.91796939189004
3884420.82701148,-10766061.5201113,932,,-96.7131761328703,32.91796939189004
3884420.82701148,-10765061.5201113,933,,-96.70419298002909,32.91796939189004
3884420.82701148,-10764061.5201113,934,,-96.6952098271879,32.91796939189004
3884420.82701148,-10763061.5201113,935,,-96.6862266743467,32.91796939189004
3884420.82701148,-10762061.5201113,936,,-96.6772435215055,32.91796939189004
3884420.82701148,-10761061.5201113,937,,-96.6682603686643,32.91796939189004
3884420.82701148,-10760061.5201113,938,,-96.65927721582312,32.91796939189004
3884420.82701148,-10759061.5201113,939,,-96.65029406298193,32.91796939189004
3884420.82701148,-10758061.5201113,940,,-96.64131091014073,32.91796939189004
3884420.82701148,-10757061.5201113,941,,-96.63232775729954,32.91796939189004
3884420.82701148,-10756061.5201113,942,,-96.62334460445834,32.91796939189004
3884420.82701148,-10755061.5201113,943,,-96.61436145161714,32.91796939189004
3884420.82701148,-10754061.5201113,944,,-96.60537829877595,32.91796939189004
3884420.82701148,-10753061.5201113,945,,-96.59639514593475,32.91796939189004
3884420.82701148,-10752061.5201113,946,,-96.58741199309355,32.91796939189004
3884420.82701148,-10751061.5201113,947,,-96.57842884025236,32.91796939189004
3884420.82701148,-10750061.5201113,948,,-96.56944568741116,32.91796939189004
3884420.82701148,-10749061.5201113,949,,-96.56046253456996,32.91796939189004
3884420.82701148,-10748061.5201113,950,,-96.55147938172878,32.91796939189004
3884420.82701148,-10747061.5201113,951,,-96.54249622888759,32.91796939189004
3884420.82701148,-10746061.5201113,952,,-96.53351307604639,32.91796939189004
3884420.82701148,-10745061.5201113,953,,-96.5245299232052,32.91796939189004
3884420.82701148,-10744061.5201113,954,,-96.515546770364,32.91796939189004
3884420.82701148,-10743061.5201113,955,,-96.5065636175228,32.91796939189004
3884420.82701148,-10742061.5201113,956,,-96.4975804646816,32.91796939189004
3884420.82701148,-10741061.5201113,957,,-96.48859731184041,32.91796939189004
3884420.82701148,-10740061.5201113,958,,-96.47961415899921,32.91796939189004
3884420.82701148,-10739061.5201113,959,,-96.47063100615802,32.91796939189004
3883420.82701148,-10798061.5201113,960,,-97.00063702378854,32.9104281677555
3883420.82701148,-10797061.5201113,961,,-96.99165387094733,32.9104281677555
3883420.82701148,-10796061.5201113,962,,-96.98267071810614,32.9104281677555
3883420.82701148,-10795061.5201113,963,,-96.97368756526495,32.9104281677555
3883420.82701148,-10794061.5201113,964,,-96.96470441242376,32.9104281677555
3883420.82701148,-10793061.5201113,965,,-96.95572125958256,32.9104281677555
3883420.82701148,-10792061.5201113,966,,-96.94673810674136,32.9104281677555
3883420.82701148,-10791061.5201113,967,,-96.93775495390017,32.9104281677555
3883420.82701148,-10790061.5201113,968,,-96.92877180105897,32.9104281677555
3883420.82701148,-10789061.5201113,969,,-96.91978864821779,32.9104281677555
3883420.82701148,-10788061.5201113,970,,-96.9108054953766,32.9104281677555
3883420.82701148,-10787061.5201113,971,,-96.9018223425354,32.9104281677555
3883420.82701148,-10786061.5201113,972,,-96.89283918969419,32.9104281677555
3883420.82701148,-10785061.5201113,973,,-96.88385603685299,32.9104281677555
3883420.82701148,-10784061.5201113,974,,-96.8748728840118,32.9104281677555
3883420.82701148,-10783061.5201113,975,,-96.86588973117061,32.9104281677555
3883420.82701148,-10782061.5201113,976,,-96.85690657832941,32.9104281677555
3883420.82701148,-10781061.5201113,977,,-96.84792342548822,32.9104281677555
3883420.82701148,-10780061.5201113,978,,-96.83894027264702,32.9104281677555
3883420.82701148,-10779061.5201113,979,,-96.82995711980583,32.9104281677555
3883420.82701148,-10778061.5201113,980,,-96.82097396696464,32.9104281677555
3883420.82701148,-10777061.5201113,981,,-96.81199081412345,32.9104281677555
3883420.82701148,-10776061.5201113,982,,-96.80300766128224,32.9104281677555
3883420.82701148,-10775061.5201113,983,,-96.79402450844104,32.9104281677555
3883420.82701148,-10774061.5201113,984,,-96.78504135559984,32.9104281677555
3883420.82701148,-10773061.5201113,985,,-96.77605820275865,32.9104281677555
3883420.82701148,-10772061.5201113,986,,-96.76707504991747,32.9104281677555
3883420.82701148,-10771061.5201113,987,,-96.75809189707627,32.9104281677555
3883420.82701148,-10770061.5201113,988,,-96.74910874423507,32.9104281677555
3883420.82701148,-10769061.5201113,989,,-96.74012559139388,32.9104281677555
3883420.82701148,-10768061.5201113,990,,-96.73114243855268,32.9104281677555
